"AGEGRP","Year","Population","Race","Sex"
"11","2010",2011632,"NonWhite","Male"
"11","2010",2278180,"NonWhite","Female"
"12","2010",7905694,"White","Male"
"12","2010",8237780,"White","Female"
"12","2010",1617954,"NonWhite","Male"
"12","2010",1903377,"NonWhite","Female"
"13","2010",6841051,"White","Male"
"13","2010",7247819,"White","Female"
"13","2010",1236449,"NonWhite","Male"
"13","2010",1492605,"NonWhite","Female"
"14","2010",5023639,"White","Male"
"14","2010",5540089,"White","Female"
"14","2010",828908,"NonWhite","Male"
"14","2010",1042627,"NonWhite","Female"
"15","2010",3656614,"White","Male"
"15","2010",4253820,"White","Female"
"15","2010",587358,"NonWhite","Male"
"15","2010",780374,"NonWhite","Female"
"16","2010",6458111,"White","Male"
"16","2010",9877253,"White","Female"
"16","2010",808330,"NonWhite","Male"
"16","2010",1410861,"NonWhite","Female"
