"AGEGRP","Year","Population","Race","Sex"
"6","1920",467000,"NonWhite","Male"
"6","1920",527000,"NonWhite","Female"
"7","1920",3778000,"White","Male"
"7","1920",3579000,"White","Female"
"7","1920",355000,"NonWhite","Male"
"7","1920",383000,"NonWhite","Female"
"8","1920",3723000,"White","Male"
"8","1920",3322000,"White","Female"
"8","1920",406000,"NonWhite","Male"
"8","1920",392000,"NonWhite","Female"
"9","1920",3081000,"White","Male"
"9","1920",2824000,"White","Female"
"9","1920",325000,"NonWhite","Male"
"9","1920",309000,"NonWhite","Female"
"10","1920",2736000,"White","Male"
"10","1920",2412000,"White","Female"
"10","1920",316000,"NonWhite","Male"
"10","1920",229000,"NonWhite","Female"
"11","1920",2334000,"White","Male"
"11","1920",2050000,"White","Female"
"11","1920",248000,"NonWhite","Male"
"11","1920",180000,"NonWhite","Female"
"12","1920",1752000,"White","Male"
"12","1920",1583000,"White","Female"
"12","1920",149000,"NonWhite","Male"
"12","1920",112000,"NonWhite","Female"
"13","1920",1483000,"White","Male"
"13","1920",1332000,"White","Female"
"13","1920",118000,"NonWhite","Male"
"13","1920",90000,"NonWhite","Female"
"14","1920",1003000,"White","Male"
"14","1920",933000,"White","Female"
"14","1920",81000,"NonWhite","Male"
"14","1920",61000,"NonWhite","Female"
"15","1920",661000,"White","Male"
"15","1920",645000,"White","Female"
"15","1920",50000,"NonWhite","Male"
"15","1920",46000,"NonWhite","Female"
"16","1920",638000,"White","Male"
"16","1920",705000,"White","Female"
"16","1920",52000,"NonWhite","Male"
"16","1920",54000,"NonWhite","Female"
"1","1930",5141135,"White","Male"
"1","1930",4931576,"White","Female"
"1","1930",645887,"NonWhite","Male"
"1","1930",653517,"NonWhite","Female"
"2","1930",5652454,"White","Male"
"2","1930",5488025,"White","Female"
"2","1930",721076,"NonWhite","Male"
"2","1930",728615,"NonWhite","Female"
"3","1930",5430491,"White","Male"
"3","1930",5295915,"White","Female"
"3","1930",654681,"NonWhite","Male"
"3","1930",659533,"NonWhite","Female"
"4","1930",5145183,"White","Male"
"4","1930",5125371,"White","Female"
"4","1930",625454,"NonWhite","Male"
"4","1930",676121,"NonWhite","Female"
"5","1930",4771523,"White","Male"
"5","1930",4885033,"White","Female"
"5","1930",591152,"NonWhite","Male"
"5","1930",667512,"NonWhite","Female"
"6","1930",4348841,"White","Male"
"6","1930",4411018,"White","Female"
"6","1930",539961,"NonWhite","Male"
"6","1930",594210,"NonWhite","Female"
"7","1930",4123626,"White","Male"
"7","1930",4104363,"White","Female"
"7","1930",448528,"NonWhite","Male"
"7","1930",468289,"NonWhite","Female"
"8","1930",4227564,"White","Male"
"8","1930",4061175,"White","Female"
"8","1930",454650,"NonWhite","Male"
"8","1930",475075,"NonWhite","Female"
"9","1930",3798861,"White","Male"
"9","1930",3522823,"White","Female"
"9","1930",367142,"NonWhite","Male"
"9","1930",363273,"NonWhite","Female"
"10","1930",3344574,"White","Male"
"10","1930",3071044,"White","Female"
"10","1930",343841,"NonWhite","Male"
"10","1930",316165,"NonWhite","Female"
"11","1930",2855535,"White","Male"
"11","1930",2629315,"White","Female"
"11","1930",297295,"NonWhite","Male"
"11","1930",237462,"NonWhite","Female"
"12","1930",2262096,"White","Male"
"12","1930",2102122,"White","Female"
"12","1930",190020,"NonWhite","Male"
"12","1930",143293,"NonWhite","Female"
"13","1930",1812811,"White","Male"
"13","1930",1709803,"White","Female"
"13","1930",142605,"NonWhite","Male"
"13","1930",113288,"NonWhite","Female"
"14","1930",1339672,"White","Male"
"14","1930",1288650,"White","Female"
"14","1930",89769,"NonWhite","Male"
"14","1930",76407,"NonWhite","Female"
"15","1930",943932,"White","Male"
"15","1930",916691,"White","Female"
"15","1930",54882,"NonWhite","Male"
"15","1930",50763,"NonWhite","Female"
"16","1930",870781,"White","Male"
"16","1930",946877,"White","Female"
"16","1930",60495,"NonWhite","Male"
"16","1930",66900,"NonWhite","Female"
"1","1940",4716875,"White","Male"
"1","1940",4543811,"White","Female"
"1","1940",655788,"NonWhite","Male"
"1","1940",662169,"NonWhite","Female"
"2","1940",4726914,"White","Male"
"2","1940",4566170,"White","Female"
"2","1940",674623,"NonWhite","Male"
"2","1940",680590,"NonWhite","Female"
"3","1940",5243196,"White","Male"
"3","1940",5077092,"White","Female"
"3","1940",694419,"NonWhite","Male"
"3","1940",700251,"NonWhite","Female"
"4","1940",5533801,"White","Male"
"4","1940",5441406,"White","Female"
"4","1940",663766,"NonWhite","Male"
"4","1940",703664,"NonWhite","Female"
"5","1940",5203317,"White","Male"
"5","1940",5237385,"White","Female"
"5","1940",580428,"NonWhite","Male"
"5","1940",669231,"NonWhite","Female"
"6","1940",4931192,"White","Male"
"6","1940",5029774,"White","Female"
"6","1940",560239,"NonWhite","Male"
"6","1940",635056,"NonWhite","Female"
"7","1940",4599851,"White","Male"
"7","1940",4651397,"White","Female"
"7","1940",497629,"NonWhite","Male"
"7","1940",540811,"NonWhite","Female"
"8","1940",4280335,"White","Male"
"8","1940",4283520,"White","Female"
"8","1940",493269,"NonWhite","Male"
"8","1940",539551,"NonWhite","Female"
"9","1940",4012363,"White","Male"
"9","1940",3956653,"White","Female"
"9","1940",426055,"NonWhite","Male"
"9","1940",429920,"NonWhite","Female"
"10","1940",3848150,"White","Male"
"10","1940",3698217,"White","Female"
"10","1940",369069,"NonWhite","Male"
"10","1940",358296,"NonWhite","Female"
"11","1940",3459152,"White","Male"
"11","1940",3241045,"White","Female"
"11","1940",303168,"NonWhite","Male"
"11","1940",277521,"NonWhite","Female"
"12","1940",2805395,"White","Male"
"12","1940",2654089,"White","Female"
"12","1940",234310,"NonWhite","Male"
"12","1940",209704,"NonWhite","Female"
"13","1940",2248986,"White","Male"
"13","1940",2199403,"White","Female"
"13","1940",180696,"NonWhite","Male"
"13","1940",161603,"NonWhite","Female"
"14","1940",1748899,"White","Male"
"14","1940",1774946,"White","Female"
"14","1940",135013,"NonWhite","Male"
"14","1940",122922,"NonWhite","Female"
"15","1940",1189486,"White","Male"
"15","1940",1225529,"White","Female"
"15","1940",88126,"NonWhite","Male"
"15","1940",81766,"NonWhite","Female"
"16","1940",1170426,"White","Male"
"16","1940",1330083,"White","Female"
"16","1940",77427,"NonWhite","Male"
"16","1940",86508,"NonWhite","Female"
"1","1950",7327659,"White","Male"
"1","1950",7020017,"White","Female"
"1","1950",1034317,"NonWhite","Male"
"1","1950",1027962,"NonWhite","Female"
"2","1950",5980241,"White","Male"
"2","1950",5730497,"White","Female"
"2","1950",830549,"NonWhite","Male"
"2","1950",833250,"NonWhite","Female"
"3","1950",4967807,"White","Male"
"3","1950",4773604,"White","Female"
"3","1950",738866,"NonWhite","Male"
"3","1950",732382,"NonWhite","Female"
"4","1950",4729677,"White","Male"
"4","1950",4615595,"White","Female"
"4","1950",651639,"NonWhite","Male"
"4","1950",678494,"NonWhite","Female"
"5","1950",5160584,"White","Male"
"5","1950",5168410,"White","Female"
"5","1950",633794,"NonWhite","Male"
"5","1950",717604,"NonWhite","Female"
"6","1950",5424223,"White","Male"
"6","1950",5576813,"White","Female"
"6","1950",646391,"NonWhite","Male"
"6","1950",714169,"NonWhite","Female"
"7","1950",5164033,"White","Male"
"7","1950",5305952,"White","Female"
"7","1950",568514,"NonWhite","Male"
"7","1950",635678,"NonWhite","Female"
"8","1950",5000986,"White","Male"
"8","1950",5122560,"White","Female"
"8","1950",583908,"NonWhite","Male"
"8","1950",639195,"NonWhite","Female"
"9","1950",4606851,"White","Male"
"9","1950",4641812,"White","Female"
"9","1950",513677,"NonWhite","Male"
"9","1950",527480,"NonWhite","Female"
"10","1950",4105935,"White","Male"
"10","1950",4112785,"White","Female"
"10","1950",459812,"NonWhite","Male"
"10","1950",463467,"NonWhite","Female"
"11","1950",3765123,"White","Male"
"11","1950",3788246,"White","Female"
"11","1950",384015,"NonWhite","Male"
"11","1950",373561,"NonWhite","Female"
